Campaign Name,Ad Name,Amount Spent,Reach,Impressions,Clicks (All),Results,Day,Ad Set Name
TESTE MDV PASSO 4,SALGADOS 1 REAL 90D FEED,"5,15",941,1151,5,2,2020-11-15,COMBOS 90D
Engajamento - Guanambi,teste 03,"2,79",1043,1075,6,130,2020-11-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,95",6136,6328,13,2420,2020-11-16,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"6,42",1071,1283,12,4,2020-11-16,COMBOS 90D
TESTE MDV PASSO 4,SALGADOS 1 REAL 90D FEED,"3,68",709,821,0,,2020-11-16,COMBOS 90D
Engajamento - Guanambi,teste 03,"3,38",1082,1125,4,108,2020-11-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,12",4606,4770,24,1902,2020-11-17,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"7,65",1102,1334,9,2,2020-11-17,COMBOS 90D
TESTE MDV PASSO 4,SALGADOS 1 REAL 90D FEED,"2,02",397,442,1,,2020-11-17,COMBOS 90D
Engajamento - Guanambi,teste 03,"2,62",728,751,2,85,2020-11-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,21",4474,4621,17,1726,2020-11-18,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"8,09",1051,1248,12,3,2020-11-18,COMBOS 90D
TESTE MDV PASSO 4,SALGADOS 1 REAL 90D FEED,"1,54",282,306,0,,2020-11-18,COMBOS 90D
Engajamento - Guanambi,teste 03,"2,3",670,694,5,63,2020-11-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,31",4608,4760,12,1809,2020-11-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"2,37",732,754,6,69,2020-11-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"13,43",4985,5126,20,1974,2020-11-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"2,26",781,799,3,75,2020-11-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"13,36",5312,5387,21,1927,2020-11-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"2,92",1055,1089,3,95,2020-11-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,77",4936,5111,26,1790,2020-11-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"2,22",668,691,2,61,2020-11-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,46",4671,4852,15,1663,2020-11-23,PASSO 03 MDV GBI
BLACK FRIDAY,STORY BLACK,"0,6",111,113,1,,2020-11-23,BLACK FRIDAY
Engajamento - Guanambi,teste 03,"1,68",525,539,4,58,2020-11-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"13,13",4655,4786,13,1644,2020-11-24,PASSO 03 MDV GBI
BLACK FRIDAY,STORY BLACK,"9,72",1956,2217,14,8,2020-11-24,BLACK FRIDAY
Engajamento - Guanambi,teste 03,"2,55",711,737,6,67,2020-11-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,26",3931,4060,7,1345,2020-11-25,PASSO 03 MDV GBI
BLACK FRIDAY,STORY BLACK,"10,35",1700,1855,18,3,2020-11-25,BLACK FRIDAY
Teste mdv passo 4 story,"slides salgados 1,00","5,32",848,867,27,12,2020-11-25,guanambi
Engajamento - Guanambi,teste 03,"3,28",867,896,6,66,2020-11-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,74",3337,3443,11,1149,2020-11-26,PASSO 03 MDV GBI
BLACK FRIDAY,STORY BLACK,"6,06",903,934,8,,2020-11-26,BLACK FRIDAY
Teste mdv passo 4 story,"slides salgados 1,00","9,56",1378,1479,30,14,2020-11-26,guanambi
Engajamento - Guanambi,teste 03,"2,6",569,579,4,58,2020-11-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,64",3071,3162,5,1090,2020-11-27,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","9,9",1435,1542,28,14,2020-11-27,guanambi
Engajamento - Guanambi,teste 03,"2,88",738,756,5,80,2020-11-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,87",3499,3565,9,1237,2020-11-28,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,48",1476,1568,26,11,2020-11-28,guanambi
Engajamento - Guanambi,teste 03,"2,54",751,776,3,59,2020-11-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,59",4171,4270,13,1412,2020-11-29,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","9,74",1372,1436,33,13,2020-11-29,guanambi
Engajamento - Guanambi,teste 03,"2,99",890,922,2,72,2020-11-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,82",4201,4337,17,1368,2020-11-30,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","9,56",1067,1142,19,6,2020-11-30,guanambi
Engajamento - Guanambi,teste 03,"3,34",1113,1145,2,85,2020-12-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,76",4783,4916,18,1545,2020-12-01,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,17",1930,2034,33,12,2020-12-01,guanambi
Engajamento - Guanambi,teste 03,"2,12",634,652,2,54,2020-12-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,62",5033,5161,18,1675,2020-12-02,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","9,94",1396,1445,22,9,2020-12-02,guanambi
Engajamento - Guanambi,teste 03,"2,43",735,754,4,62,2020-12-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,72",4597,4723,12,1493,2020-12-03,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,26",1279,1325,21,12,2020-12-03,guanambi
Engajamento - Guanambi,teste 03,3,834,860,4,70,2020-12-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,94",4320,4443,7,1413,2020-12-04,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,15",1321,1412,13,8,2020-12-04,guanambi
Engajamento - Guanambi,teste 03,"2,14",569,575,2,56,2020-12-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,99",4780,4901,16,1473,2020-12-05,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,18",1541,1642,15,6,2020-12-05,guanambi
Engajamento - Guanambi,teste 03,"2,12",563,575,3,57,2020-12-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,92",5028,5202,8,1574,2020-12-06,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","9,74",1348,1439,9,3,2020-12-06,guanambi
Engajamento - Guanambi,teste 03,"2,55",680,694,3,56,2020-12-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,21",4714,4861,16,1500,2020-12-07,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","10,05",1477,1560,18,8,2020-12-07,guanambi
Engajamento - Guanambi,teste 03,"2,3",617,640,3,64,2020-12-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,75",4755,4885,20,1539,2020-12-08,PASSO 03 MDV GBI
Teste mdv passo 4 story,"slides salgados 1,00","0,38",36,36,1,1,2020-12-08,guanambi
COXITONE,VIDEO COXITONE,"9,55",2894,3199,53,13,2020-12-08,COXITONE
Engajamento - Guanambi,teste 03,"1,85",463,471,3,41,2020-12-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,78",4341,4434,12,1448,2020-12-09,PASSO 03 MDV GBI
COXITONE,VIDEO COXITONE,"9,06",2428,2605,24,3,2020-12-09,COXITONE
Engajamento - Guanambi,teste 03,"1,06",266,269,2,25,2020-12-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"13,77",4562,4648,10,1472,2020-12-10,PASSO 03 MDV GBI
COXITONE,VIDEO COXITONE,"6,7",1814,1889,21,7,2020-12-10,COXITONE
Engajamento - Guanambi,teste 05-video coxinha,"0,47",122,122,0,38,2020-12-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"0,01",2,2,0,1,2020-12-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,09",63,63,0,27,2020-12-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"15,03",5440,5753,30,2658,2020-12-11,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"5,52",976,1037,13,3,2020-12-11,Teste feed cnn
Engajamento - Guanambi,teste 04 passo 3,"0,07",54,55,0,26,2020-12-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"15,02",5768,5918,25,2519,2020-12-12,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"9,76",1443,1756,12,3,2020-12-12,Teste feed cnn
Engajamento - Guanambi,teste 04 passo 3,"0,2",108,108,1,39,2020-12-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"14,39",5828,6087,17,2350,2020-12-13,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"9,57",1468,1834,11,2,2020-12-13,Teste feed cnn
Engajamento - Guanambi,teste 04 passo 3,"0,13",66,66,1,34,2020-12-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"14,59",5348,5605,20,2135,2020-12-14,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"9,69",1470,1819,10,3,2020-12-14,Teste feed cnn
Engajamento - Guanambi,teste 04 passo 3,"0,15",79,79,0,31,2020-12-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"14,82",4944,5149,12,1885,2020-12-15,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"9,87",1370,1690,3,2,2020-12-15,Teste feed cnn
Engajamento - Guanambi,teste 04 passo 3,"0,18",84,85,0,30,2020-12-16,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,15,4856,5027,16,1777,2020-12-16,PASSO 03 MDV GBI
TESTE PASSO 4 MDV,Feed coxinha,"0,36",62,62,0,,2020-12-16,Teste feed cnn
Teste mdv passo 4 story,Teste mdv passo 4 story,"1,88",221,223,3,1,2020-12-16,carinhanha
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"3,59",533,562,17,6,2020-12-16,carinhanha
Engajamento - Guanambi,teste 04 passo 3,"0,13",51,51,0,19,2020-12-17,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"14,86",4516,4676,12,1637,2020-12-17,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story,"1,15",127,134,0,,2020-12-17,carinhanha
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"8,61",1017,1230,34,11,2020-12-17,carinhanha
Engajamento - Guanambi,teste 04 passo 3,"0,19",70,71,0,27,2020-12-18,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,15,4465,4585,8,1612,2020-12-18,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story,"1,63",161,165,2,,2020-12-18,carinhanha
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"8,04",838,953,32,15,2020-12-18,carinhanha
Engajamento - Guanambi,teste 04 passo 3,"0,24",109,109,1,36,2020-12-19,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"15,12",4464,4560,10,1687,2020-12-19,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story,"0,29",38,38,0,,2020-12-19,carinhanha
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,02",1024,1209,24,8,2020-12-19,carinhanha
Engajamento - Guanambi,teste 04 passo 3,"0,2",89,90,0,31,2020-12-20,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"14,36",4679,4821,11,1653,2020-12-20,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,76",946,1126,14,7,2020-12-20,carinhanha
Engajamento - Guanambi,teste 04 passo 3,"0,15",91,91,0,25,2020-12-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 05-video coxinha,"12,27",4058,4140,15,1333,2020-12-21,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,06",1101,1336,16,8,2020-12-21,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,08",24,24,0,7,2020-12-21,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"2,69",1015,1029,3,318,2020-12-21,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,52",1053,1248,14,4,2020-12-22,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,04",21,22,0,2,2020-12-22,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,8",5952,6126,28,2155,2020-12-22,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,17",1013,1212,22,13,2020-12-23,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,03",5,5,0,2,2020-12-23,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,62",5984,6159,14,1952,2020-12-23,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,02",1136,1395,11,4,2020-12-24,carinhanha
Engajamento - Guanambi,teste 06 passo 3,0,4,4,0,,2020-12-24,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"15,32",6530,6680,15,1925,2020-12-24,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,75",976,1236,10,3,2020-12-25,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,03",5,5,0,,2020-12-25,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"15,26",7130,7343,18,2204,2020-12-25,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,72",895,1116,9,5,2020-12-26,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,06",22,22,0,4,2020-12-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"15,09",6916,7078,25,2062,2020-12-26,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,72",951,1224,12,3,2020-12-27,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,05",19,20,1,6,2020-12-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"15,01",7292,7538,15,2220,2020-12-27,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,46",959,1200,15,8,2020-12-28,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,08",29,29,1,7,2020-12-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,4",6638,6835,19,1934,2020-12-28,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,5",847,1014,7,4,2020-12-29,carinhanha
Engajamento - Guanambi,teste 06 passo 3,"0,1",28,29,0,6,2020-12-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,47",6188,6398,22,1605,2020-12-29,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,8",651,806,18,11,2020-12-30,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"15,03",6226,6332,10,1583,2020-12-30,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,53",656,890,6,2,2020-12-31,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"15,32",6550,6690,14,1512,2020-12-31,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,5",838,1135,9,4,2021-01-01,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"15,37",9370,9767,23,2343,2021-01-01,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,49",973,1399,12,2,2021-01-02,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"15,17",9374,10001,18,2336,2021-01-02,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,52",1027,1433,10,4,2021-01-03,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"14,55",8546,8954,22,2121,2021-01-03,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"10,14",1050,1436,14,7,2021-01-04,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"14,61",7446,7743,15,1845,2021-01-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"1,28",863,867,1,252,2021-01-05,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"9,82",1017,1317,6,1,2021-01-05,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"13,61",6601,6754,16,1597,2021-01-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"1,66",935,954,0,278,2021-01-06,PASSO 03 MDV GBI
Teste mdv passo 4 story,Teste mdv passo 4 story — edielison,"3,64",395,426,3,2,2021-01-06,carinhanha
Engajamento - Guanambi,teste 07 passo 3,"13,12",5706,5988,15,1320,2021-01-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"1,87",1074,1087,0,312,2021-01-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"10,63",4606,4714,6,1011,2021-01-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,14",56,56,0,11,2021-01-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"1,22",335,336,0,67,2021-01-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"1,59",548,550,2,72,2021-01-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,78",469,471,0,207,2021-01-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"11,49",5410,5413,9,1490,2021-01-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,11",47,49,0,5,2021-01-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"2,31",627,634,1,125,2021-01-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,75",256,259,1,45,2021-01-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,03",19,19,1,12,2021-01-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,74",7628,7834,15,2384,2021-01-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,0,1,1,0,,2021-01-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,46",181,181,1,41,2021-01-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,05",31,31,0,7,2021-01-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,03",18,18,0,9,2021-01-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"13,91",8109,8161,21,2245,2021-01-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,01",8,8,0,3,2021-01-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,49",207,209,2,31,2021-01-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,12",45,45,0,11,2021-01-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,01",7,7,0,4,2021-01-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"13,72",7784,7925,18,2111,2021-01-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,01",4,4,0,,2021-01-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,42",168,169,0,24,2021-01-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,31",106,106,0,27,2021-01-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,03",17,17,0,7,2021-01-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"13,76",6986,7174,26,1854,2021-01-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,02",8,8,0,2,2021-01-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,71",242,242,0,44,2021-01-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,26",91,93,0,20,2021-01-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,01",20,20,0,7,2021-01-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,28",7108,7216,21,1766,2021-01-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,02",7,7,0,,2021-01-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,69",250,250,1,42,2021-01-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,2",76,76,0,8,2021-01-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"0,02",11,11,0,3,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 07 passo 3,"14,31",7418,7435,18,1836,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 08 passo 3,"0,01",4,4,1,3,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 09 passo 3,"0,49",186,186,0,31,2021-01-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 10 passo 3,"0,04",9,9,0,1,2021-01-14,PASSO 03 MDV GBI
